bugid,summary,component
972196,Ensure FxA-based sync continues working immediately after Firefox Refresh,Firefox Accounts
1243643,"""Save Image As..."" Not working",File Handling
1370035,Regression: Spacebar pagedown not working after loading session restored tab,Tabbed Browser
390747,POST keyword bookmarks stop working after a restart,Bookmarks & History
1507223,"The ""Allow"" argument for the PopupBlocking policy is not working",Enterprise Policies
1407999,Locking homepage prefs isn't working on Firefox 57,Preferences
1428529,"""Clear Recent History"" stops working",General
258730,Change width of the Search Bar not working properly with latest build,Search
274631,Keyboard stops working periodically - have to restart app,Keyboard Navigation
293248,<canvas> not working in beast Installer builds,Installer
294930,Tab creation from links not working,Tabbed Browser
298797,Background properties not working with firefox,General
304112,javascript is not working,General
306555,I got a crash while working with an applet.,General
306676,Scrolling using mouse wheel not working when focus is inside a DIV,General
309451,"i up graded my extensions, and my links in my yahoo e-mail quit working, but they will work through aol",General
313345,"Flash plugin not working in Firefox, but works in IE",General
316181,Open popups in new tabs not working,Tabbed Browser
317542,Right Click not working,General
321126,Auto-refresh pages wiped if working offline,General
332431,Genius Netscroll+Superior mouse - thumb buttons not working,General
339113,CSS cursor: url() Not Working on Mac,Shell Integration
341346,company Research functionality is not working if we select for select option,General
354455,'Flexible Space' not working,Toolbars and Customization
356367,Kill Google Ads Extension not available/working for Firefox 2,Extension Compatibility
356940,its not working properly,Bookmarks & History
357409,Delete word not working w/ content rendered as IE within Firefox,Extension Compatibility
362463,"Last visited pages history stops working if ""remember for last X days"" is set to too large",Address Bar
363837,the addition property is not working,Menus
364873,my computer is not working properly,Bookmarks & History
368539,Comment <!-- treść komentarza -- --> isn't working. For Opera & IE all is OK.,General
374444,refresh meta stopped working,General
377511,login feature is not working properly,General
380629,browser is not working properly,General
386022,url is not working,Migration
388657,image file upload not working ..,File Handling
390264,Firefox stops working shortly after visiting www.facebook.com,General
398096,"After a while of firefox3 trunk usage, inputing urls in location bar stops working",Address Bar
399754,Ok button is not working properly,General
405273,"frequent ""Firefox has stopped working"" error messages",General
405759,Yahoo Mail not working since download of latest Mozilla Firefox,General
406988,bookmark not working fully.,Bookmarks & History
415095,New password save method makes working with authenticated frame sites difficult,Security
416162,Command+Number shortcut for switching tabs stopped working,Keyboard Navigation
416283,"tab switching using cmd+# (e.g., cmd+1, cmd+2) stopped working",Tabbed Browser
416453,"Tab selection (cmd+1...9, ctrl+tab, ctrl+shift+tab) stopped working with 3.0b4pre",Keyboard Navigation
416715,Apple-number shortcut no longer working,Tabbed Browser
417900,Don't selecting the result where the mouse can be found when working with keyboard,Address Bar
422387,Suggestions in search field no longer working after 'customize' of Navigation bar,Search
423555,"""New folder"" isn't working in bookmarks",Bookmarks & History
426338,Enter Key in web search widget is not working,Keyboard Navigation
426403,Pref browser.search.openintab not working for mouse click,Search
431506,Recently Closed Tabs not working in Firefox 3.0pre (nightly builds),Tabbed Browser
439233,Location Bar Stops Working,Address Bar
439481,window.document.onblur=function() {window.focus();}; not working,General
439989,Back button is not working.,General
441502,Enter key stops working in Location bar = no way to go to websites!,Address Bar
445351,Location Bar Stops Working,Address Bar
446425,Flash Stops Working,General
449943,Firefox stoped working,General
451425,Enter stops working in the address bar some times,Address Bar
453811,print button funtionalty is not working,General
456950,javascript onmouseup event stop working after rewriting a page,General
457793,audio on streaming videos not working,General
458334,"Bookmarks deleted, loading animation never stops, URLs are incorrect, Back Forward buttons not working",General
462375,setInterval/setTimeout Not Working From Within iFrames,General
466346,picking the date in Calender is not working,General
468272,Flash Plug-in both 9 and 10 not working,General
476850,sign up in not working,Session Restore
479377,Google Toolbar not working,General
483244,Firefox has stopped working,General
483390,Gmail Filter not working in FF3.1b3 (Google apps),General
486463,"the problem is, i am using a social networking site given by google i.e. orkut and it is not working properly",General
497079,Wbsite isn't working,General
497965,save your tabs not working,Session Restore
498812,right click not working on some pages,Menus
501007,"state* [autocollapse, uncollapsed, collapsed, plain, off]  not working in FF3",General
501615,"Missing back buttons not returning, links not working",General
501879,right click is not working with firefox 3.5 version,Menus
502201,Password Bank Extensions in PSQL(Protector Suite QL) for Firefox 3.5 not working,Extension Compatibility
503460,Right click functionality is not working,Menus
504787,Right Click not working,General
504854,"Keyboard Shortcut Issue (Ctrl+Home / Ctrl+End not working...most likely because tab ""focus"" feature broken)",Keyboard Navigation
505067,Right clicking opens a new empty toolbar and right click (context menu) stops working [Yahoo! Toolbar],Extension Compatibility
507484,"Back space arrow and password for sites, not working on 3.5.0",General
522070,Firefox crashes when working with Gmail [@UserCallWinProcCheckWow ],General
524702,Some menu items not working with KDE 4.3.2 on openSUSE 11.1 build,Menus
525170,Google toolbar disappeared and stopped working after Firefox is updated from 3.0.14 to 3.0.15,Extension Compatibility
526460,Menu bar hidden function not working when starting Firefox again,Menus
526962,employment detail is not working,General
528877,"the ""Edit""->""Select All"" option is not working",Menus
534454,"Firefox 3.7 Ubuntu PPA daily works if you prevent profile copy (.mozilla/firefox to .mozilla/firefox-3.7) by linking, but stops working after a daily update",General
544233,popup blocker not working!!,General
561305,aerlingus.com not working,Untriaged
563178,"Google toolbar is not working.  The Google button, search dropdown history, and up one level arrow do not work",Extension Compatibility
565895,Memory leak 400 MB 1.5 GB when Firefox working more than 10 hours with lot of tabs,General
567071,Memory leak 400 MB 1.5 GB when Firfox working more than 10 hours with  lot of tabs,General
567337,Memory leak 400 MB 1.5 GB when Firefox working more than 10 hours with lot of tabs”.,General
567349,Memory leak 400 MB 1.5 GB when Firefox working more than 10 hours with lot of tabs,General
586054,"""switch to tab"" not working with popups when browser.tabs.closeWindowWithLastTab=false",Address Bar
616564,"java is not working on firefox, 1001 bugs reported on your site.",General
620735,Switch to tab - not working anymore,Address Bar
636425,App tabs Command + w shortcut not working,Tabbed Browser
648583,"The 'New Tab' option is not working with Firefox/3.6.16, on Win7 x64 system",Extension Compatibility
648921,"Upgraded to Firefox 4 ebay countdown clock stopped working, downgraded back to Firefox 3 no go.",General
649837,"Viewing PDF over 5MB in a embed field, is not working with Firefox 4.0",General
755667,Overflow hidden not working for fieldset with position relative,Untriaged
760836,Domain Guessing stopped working,Address Bar
764123,pdf.js isn't working on this example,PDF Viewer
852879,new tab button in firefox not working,Menus
873947,Search button not working on Firefox browser home page v21.0,Search
933959,general.useragent.override.[domain] (about:config entry) stopped working,General
